cnpj_basico;nome_fantasia;situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;capital_social;uf;municipio
79537252;Empresa Comercial 32;2;2010-02-05;4711302;682497.8918458003;RJ;Niterói
69248434;Empresa Comercial 33;2;2010-02-06;4781400;171419.299238858;RJ;Rio de Janeiro
71306900;Empresa Comercial 34;2;2010-02-07;5611201;98406.51736374894;SP;Niterói
65831368;Empresa Comercial 35;2;2010-02-08;4781400;147550.992985648;SP;Niterói
20959014;Empresa Comercial 36;2;2010-02-09;4781400;52727.618734376454;RJ;Niterói
66972561;Empresa Comercial 37;2;2010-02-10;5611201;53066.71489878589;RJ;Rio de Janeiro
58900483;Empresa Comercial 38;2;2010-02-11;4781400;23080.35238084565;RJ;Rio de Janeiro
30193880;Empresa Comercial 39;2;2010-02-12;5611201;23164.26491115298;MG;Rio de Janeiro
13385357;Empresa Comercial 40;2;2010-02-13;4711302;69081.10696193395;MG;Duque de Caxias
54738553;Empresa Comercial 41;2;2010-02-14;4781400;220862.828868889;RJ;Rio de Janeiro
78574553;Empresa Comercial 42;2;2010-02-16;5611201;145462.98347764846;RJ;Niterói
26845364;Empresa Comercial 43;2;2010-02-17;5611201;21235.457104622612;SP;Duque de Caxias
62157313;Empresa Comercial 44;2;2010-02-18;4781400;291821.3638006787;SP;Rio de Janeiro
21392366;Empresa Comercial 45;2;2010-02-19;4711302;142957.3486576656;RJ;Rio de Janeiro
79778859;Empresa Comercial 46;2;2010-02-20;4781400;491074.5969952643;MG;Duque de Caxias
98883975;Empresa Comercial 47;2;2010-02-21;5611201;171383.72074604567;RJ;Duque de Caxias
23479854;Empresa Comercial 48;2;2010-02-22;4711302;33887.58066775589;RJ;Rio de Janeiro
83506850;Empresa Comercial 49;2;2010-02-23;4781400;101306.34384568667;SP;Duque de Caxias
23187277;Empresa Comercial 50;2;2010-02-24;5611201;161830.80993442715;RJ;Niterói
78979792;Empresa Comercial 51;2;2010-02-25;4781400;9300.775668846652;SP;Niterói
47709731;Empresa Comercial 52;2;2010-02-26;4711302;7253.380936806854;RJ;Niterói
36939239;Empresa Comercial 53;2;2010-02-28;4711302;25786.41446851911;RJ;Rio de Janeiro
33027075;Empresa Comercial 54;2;2010-03-01;4711302;48485.56780347098;RJ;Niterói
91200125;Empresa Comercial 55;2;2010-03-02;4711302;89199.23292063746;RJ;Duque de Caxias
96191493;Empresa Comercial 56;2;2010-03-03;4711302;105250.76389293958;RJ;Niterói
97796277;Empresa Comercial 57;2;2010-03-04;4781400;27279.80566424837;MG;Duque de Caxias
76401385;Empresa Comercial 58;2;2010-03-05;4711302;172848.99729490725;RJ;Niterói
32335235;Empresa Comercial 59;2;2010-03-06;4711302;141002.32944484244;SP;Duque de Caxias
10271836;Empresa Comercial 60;2;2010-03-07;5611201;57319.643216733275;RJ;Niterói
13584702;Empresa Comercial 61;2;2010-03-08;4711302;7063.105708045461;SP;Niterói
62631083;Empresa Comercial 62;2;2010-03-09;5611201;17124.238665495282;RJ;Niterói
18585377;Empresa Comercial 63;2;2010-03-11;5611201;79561.77635305817;RJ;Duque de Caxias
96544585;Empresa Comercial 64;2;2010-03-12;5611201;30080.840309664338;RJ;Duque de Caxias
95157821;Empresa Comercial 65;2;2010-03-13;4781400;75937.8868044976;RJ;Niterói
97655395;Empresa Comercial 66;2;2010-03-14;4781400;153402.86263488836;RJ;Duque de Caxias
27824013;Empresa Comercial 67;2;2010-03-15;5611201;123858.11213803802;RJ;Duque de Caxias
46601694;Empresa Comercial 68;2;2010-03-16;4781400;44433.957849464816;MG;Rio de Janeiro
77105583;Empresa Comercial 69;2;2010-03-17;4711302;68198.59010723834;SP;Niterói
70304654;Empresa Comercial 70;2;2010-03-18;4781400;147799.81066704897;MG;Duque de Caxias
44119117;Empresa Comercial 71;2;2010-03-19;4711302;300835.83884660475;RJ;Duque de Caxias
46433622;Empresa Comercial 72;2;2010-03-20;4711302;214884.71605607157;MG;Duque de Caxias
99482491;Empresa Comercial 73;2;2010-03-21;4781400;125913.7999489788;SP;Duque de Caxias
70031992;Empresa Comercial 74;2;2010-03-23;4781400;72481.45191992004;RJ;Rio de Janeiro
65105831;Empresa Comercial 75;2;2010-03-24;5611201;73131.65530766087;RJ;Duque de Caxias
13366612;Empresa Comercial 76;2;2010-03-25;4781400;322312.9309282649;RJ;Duque de Caxias
68743503;Empresa Comercial 77;2;2010-03-26;4781400;11005.154473828596;RJ;Rio de Janeiro
46258670;Empresa Comercial 78;2;2010-03-27;4781400;668210.50636469;RJ;Niterói
79739572;Empresa Comercial 79;2;2010-03-28;4711302;168764.30567877353;RJ;Niterói
65848857;Empresa Comercial 80;2;2010-03-29;4711302;176449.3891884194;SP;Rio de Janeiro
67055419;Empresa Comercial 81;2;2010-03-30;4711302;10810.78702924834;RJ;Niterói
59160571;Empresa Comercial 82;2;2010-03-31;5611201;144531.55235482487;RJ;Niterói
78394024;Empresa Comercial 83;2;2010-04-01;5611201;104473.62798058229;SP;Rio de Janeiro
74525468;Empresa Comercial 84;4;2010-04-03;5611201;21770.33399890701;SP;Duque de Caxias
99966606;Empresa Comercial 85;2;2010-04-04;4711302;53843.31913968238;MG;Rio de Janeiro
48727468;Empresa Comercial 86;2;2010-04-05;4781400;336520.6549861156;RJ;Rio de Janeiro
61757120;Empresa Comercial 87;2;2010-04-06;5611201;124772.29310435;RJ;Rio de Janeiro
77157848;Empresa Comercial 88;2;2010-04-07;5611201;85016.05687794465;RJ;Rio de Janeiro
87897542;Empresa Comercial 89;2;2010-04-08;4711302;16318.834733898773;RJ;Rio de Janeiro
83665032;Empresa Comercial 90;2;2010-04-09;5611201;192828.2719180808;RJ;Duque de Caxias
95390464;Empresa Comercial 91;2;2010-04-10;4781400;187028.14822265555;RJ;Niterói
58170987;Empresa Comercial 92;2;2010-04-11;4711302;147804.63309958563;MG;Rio de Janeiro
62562567;Empresa Comercial 93;2;2010-04-12;4711302;112082.90664182397;RJ;Duque de Caxias
33717335;Empresa Comercial 94;2;2010-04-14;4781400;90317.05377209389;RJ;Rio de Janeiro
70472382;Empresa Comercial 95;2;2010-04-15;4781400;139941.25874065675;RJ;Duque de Caxias
22719242;Empresa Comercial 96;2;2010-04-16;4781400;44867.6289513801;SP;Niterói
58715250;Empresa Comercial 97;2;2010-04-17;5611201;430192.7632603557;RJ;Duque de Caxias
93139152;Empresa Comercial 98;2;2010-04-18;4781400;138299.33906103473;RJ;Duque de Caxias
54054178;Empresa Comercial 99;2;2010-04-19;4711302;60919.00349610605;RJ;Niterói
48334882;Empresa Comercial 100;2;2010-04-20;4781400;94588.26212062532;RJ;Niterói
62441466;Empresa Comercial 101;2;2010-04-21;4711302;250741.04583109517;RJ;Duque de Caxias
59583876;Empresa Comercial 102;2;2010-04-22;4711302;31441.868300638645;RJ;Rio de Janeiro
96117865;Empresa Comercial 103;2;2010-04-23;5611201;56973.82100799575;RJ;Rio de Janeiro
73203558;Empresa Comercial 104;2;2010-04-24;4781400;175684.70523110707;SP;Niterói
47407771;Empresa Comercial 105;2;2010-04-26;5611201;61857.629886179784;RJ;Rio de Janeiro
93122310;Empresa Comercial 106;2;2010-04-27;4781400;240894.80670510427;SP;Niterói
37009224;Empresa Comercial 107;2;2010-04-28;4781400;25967.51792907087;RJ;Duque de Caxias
61327755;Empresa Comercial 108;2;2010-04-29;4781400;220755.77577453767;RJ;Duque de Caxias
89018913;Empresa Comercial 109;2;2010-04-30;4781400;15619.986795509443;RJ;Rio de Janeiro
17130144;Empresa Comercial 110;2;2010-05-01;4781400;6900.88573770318;RJ;Niterói
14545583;Empresa Comercial 111;2;2010-05-02;4711302;347746.4347014034;RJ;Rio de Janeiro
64079037;Empresa Comercial 112;2;2010-05-03;4711302;135604.14108546375;RJ;Rio de Janeiro
64474455;Empresa Comercial 113;2;2010-05-04;4781400;70039.62262678082;SP;Duque de Caxias
51542436;Empresa Comercial 114;2;2010-05-05;4711302;44711.01689208359;SP;Rio de Janeiro
56626914;Empresa Comercial 115;2;2010-05-07;5611201;148913.31773447778;SP;Duque de Caxias
63933927;Empresa Comercial 116;2;2010-05-08;5611201;111697.3397478757;RJ;Niterói
62453338;Empresa Comercial 117;2;2010-05-09;5611201;721888.8185498033;RJ;Rio de Janeiro
24881728;Empresa Comercial 118;2;2010-05-10;4781400;618099.2648226958;RJ;Duque de Caxias
44045666;Empresa Comercial 119;2;2010-05-11;4781400;156188.78482433833;RJ;Rio de Janeiro
22722094;Empresa Comercial 120;2;2010-05-12;4711302;92743.63722884448;RJ;Niterói
32178434;Empresa Comercial 121;2;2010-05-13;4711302;106337.63808552432;RJ;Rio de Janeiro
56321408;Empresa Comercial 122;2;2010-05-14;4711302;177081.72945659552;SP;Rio de Janeiro
22796932;Empresa Comercial 123;2;2010-05-15;5611201;21066.73121058004;RJ;Duque de Caxias
84023414;Empresa Comercial 124;2;2010-05-16;5611201;64703.149267081964;RJ;Niterói
36063245;Empresa Comercial 125;2;2010-05-17;5611201;16738.38490808657;RJ;Niterói
49443226;Empresa Comercial 126;2;2010-05-19;5611201;16428.643700681656;RJ;Niterói
83619289;Empresa Comercial 127;2;2010-05-20;4711302;37693.41228460135;MG;Rio de Janeiro
17887739;Empresa Comercial 128;2;2010-05-21;4781400;104612.0383642972;RJ;Duque de Caxias
70736972;Empresa Comercial 129;2;2010-05-22;4781400;235410.21985422508;MG;Rio de Janeiro
71071026;Empresa Comercial 130;2;2010-05-23;5611201;104682.76065016387;RJ;Rio de Janeiro
10769598;Empresa Comercial 131;2;2010-05-24;4781400;66302.78043414436;RJ;Rio de Janeiro
99178975;Empresa Comercial 132;2;2010-05-25;4781400;17891.372505925156;SP;Niterói
59007334;Empresa Comercial 133;2;2010-05-26;4781400;124874.69452045207;RJ;Duque de Caxias
38433648;Empresa Comercial 134;2;2010-05-27;5611201;52467.50693762236;RJ;Niterói
17971379;Empresa Comercial 135;3;2010-05-28;4711302;148151.14892877245;RJ;Rio de Janeiro
13331068;Empresa Comercial 136;2;2010-05-30;4711302;572068.5695317003;RJ;Rio de Janeiro
46810847;Empresa Comercial 137;2;2010-05-31;4781400;22701.75101813852;SP;Duque de Caxias
44428803;Empresa Comercial 138;2;2010-06-01;4711302;40762.45058323677;SP;Niterói
15654237;Empresa Comercial 139;2;2010-06-02;4711302;101110.12035737194;SP;Rio de Janeiro
71553124;Empresa Comercial 140;2;2010-06-03;5611201;524208.119308534;RJ;Rio de Janeiro
55816038;Empresa Comercial 141;2;2010-06-04;5611201;226636.35249040724;RJ;Duque de Caxias
27750764;Empresa Comercial 142;2;2010-06-05;4781400;347754.797864664;RJ;Rio de Janeiro
46898446;Empresa Comercial 143;2;2010-06-06;4781400;65905.63169485735;SP;Niterói
33841962;Empresa Comercial 144;2;2010-06-07;4781400;729970.1841721166;MG;Niterói
76834972;Empresa Comercial 145;2;2010-06-08;5611201;21276.95796361703;RJ;Rio de Janeiro
53156515;Empresa Comercial 146;2;2010-06-09;4711302;13164.136385830654;RJ;Rio de Janeiro
32993420;Empresa Comercial 147;2;2010-06-11;5611201;295277.93683757534;RJ;Rio de Janeiro
72190751;Empresa Comercial 148;2;2010-06-12;5611201;398139.6192940946;RJ;Duque de Caxias
31970758;Empresa Comercial 149;2;2010-06-13;4711302;19243.12047439679;RJ;Duque de Caxias
46513466;Empresa Comercial 150;2;2010-06-14;4711302;23058.843784357363;RJ;Niterói
41288562;Empresa Comercial 151;2;2010-06-15;4781400;10060.535126119285;RJ;Niterói
31351509;Empresa Comercial 152;3;2010-06-16;4711302;21557.22540188032;SP;Rio de Janeiro
33484187;Empresa Comercial 153;2;2010-06-17;4711302;40248.22909308664;SP;Rio de Janeiro
71777469;Empresa Comercial 154;2;2010-06-18;4711302;531367.2691873225;MG;Rio de Janeiro
46093880;Empresa Comercial 155;2;2010-06-19;4711302;170329.90719773373;RJ;Duque de Caxias
60441204;Empresa Comercial 156;2;2010-06-20;4781400;231135.81665243398;RJ;Duque de Caxias
91752859;Empresa Comercial 157;2;2010-06-22;4781400;229509.7638152445;RJ;Rio de Janeiro
54066131;Empresa Comercial 158;2;2010-06-23;4711302;119881.47314736304;RJ;Rio de Janeiro
85415325;Empresa Comercial 159;2;2010-06-24;4711302;244544.14443050456;RJ;Niterói
45563453;Empresa Comercial 160;2;2010-06-25;4781400;140879.61642357282;SP;Duque de Caxias
44755914;Empresa Comercial 161;2;2010-06-26;4781400;61651.104339062054;RJ;Rio de Janeiro
60873983;Empresa Comercial 162;2;2010-06-27;4711302;128526.00719104445;MG;Duque de Caxias
63892568;Empresa Comercial 163;2;2010-06-28;5611201;119377.34964457418;SP;Rio de Janeiro
33637222;Empresa Comercial 164;2;2010-06-29;4781400;265125.2680414851;SP;Rio de Janeiro
12484413;Empresa Comercial 165;2;2010-06-30;4781400;605351.3922292381;SP;Niterói
80016224;Empresa Comercial 166;2;2010-07-01;4781400;84410.20478151328;RJ;Niterói
49449976;Empresa Comercial 167;2;2010-07-03;4711302;221201.7395372626;SP;Niterói
99583549;Empresa Comercial 168;2;2010-07-04;4711302;20764.583221439498;RJ;Rio de Janeiro
12235000;Empresa Comercial 169;2;2010-07-05;4781400;229974.14037130828;SP;Niterói
33685747;Empresa Comercial 170;2;2010-07-06;4711302;74643.05888021812;RJ;Rio de Janeiro
47876684;Empresa Comercial 171;2;2010-07-07;4711302;11028.04238214594;RJ;Duque de Caxias
82931048;Empresa Comercial 172;2;2010-07-08;4781400;72705.82455016281;RJ;Duque de Caxias
39859174;Empresa Comercial 173;2;2010-07-09;4711302;146488.6968082069;RJ;Rio de Janeiro
46102853;Empresa Comercial 174;2;2010-07-10;5611201;24047.247821850415;RJ;Niterói
56159303;Empresa Comercial 175;2;2010-07-11;4711302;391621.38342235744;RJ;Niterói
22195226;Empresa Comercial 176;2;2010-07-12;4711302;17128.222758765696;SP;Duque de Caxias
57936136;Empresa Comercial 177;2;2010-07-13;4781400;403903.40587362554;RJ;Rio de Janeiro
79062973;Empresa Comercial 178;2;2010-07-15;4781400;189207.81869481015;RJ;Rio de Janeiro
24421668;Empresa Comercial 179;2;2010-07-16;5611201;65007.21048650136;RJ;Rio de Janeiro
31200096;Empresa Comercial 180;2;2010-07-17;4711302;79329.0735790388;RJ;Duque de Caxias
93375337;Empresa Comercial 181;2;2010-07-18;5611201;207528.7166790281;RJ;Duque de Caxias
33234510;Empresa Comercial 182;2;2010-07-19;5611201;142996.28954529017;SP;Niterói
61715898;Empresa Comercial 183;2;2010-07-20;4781400;172048.04129770456;RJ;Rio de Janeiro
55968757;Empresa Comercial 184;2;2010-07-21;4711302;78939.16663600224;RJ;Rio de Janeiro
10061087;Empresa Comercial 185;2;2010-07-22;4781400;105359.96404052086;RJ;Rio de Janeiro
90705119;Empresa Comercial 186;2;2010-07-23;5611201;693800.8436188415;RJ;Rio de Janeiro
76653416;Empresa Comercial 187;2;2010-07-24;5611201;41105.05433480899;RJ;Duque de Caxias
95382256;Empresa Comercial 188;2;2010-07-26;4781400;86155.66393696518;SP;Niterói
20274621;Empresa Comercial 189;2;2010-07-27;4781400;56759.22221030148;RJ;Duque de Caxias
23022704;Empresa Comercial 190;2;2010-07-28;4781400;222296.65849469975;RJ;Niterói
26816569;Empresa Comercial 191;2;2010-07-29;4781400;11079827.304783922;RJ;Rio de Janeiro
17654909;Empresa Comercial 192;2;2010-07-30;4781400;56891.084825946986;RJ;Rio de Janeiro
47814054;Empresa Comercial 193;2;2010-07-31;5611201;17734.094855862622;SP;Rio de Janeiro
94302960;Empresa Comercial 194;2;2010-08-01;4781400;6724.779820618127;RJ;Rio de Janeiro
25421040;Empresa Comercial 195;2;2010-08-02;4711302;88648.42137047065;RJ;Rio de Janeiro
34210512;Empresa Comercial 196;2;2010-08-03;5611201;84230.76494557307;SP;Duque de Caxias
82073914;Empresa Comercial 197;4;2010-08-04;5611201;673381.7045386183;RJ;Niterói
77922032;Empresa Comercial 198;2;2010-08-05;4711302;100175.73501023873;SP;Duque de Caxias
43779713;Empresa Comercial 199;2;2010-08-07;4711302;49441.509051652996;RJ;Rio de Janeiro
21506305;Empresa Comercial 200;2;2010-08-08;5611201;337777.18683412333;RJ;Niterói
30560091;Empresa Comercial 201;2;2010-08-09;4781400;106316.11515732516;SP;Niterói
96881845;Empresa Comercial 202;2;2010-08-10;5611201;142134.79109995597;SP;Rio de Janeiro
17734102;Empresa Comercial 203;2;2010-08-11;5611201;20083.927243807808;RJ;Niterói
15674719;Empresa Comercial 204;2;2010-08-12;4711302;77412.61727089628;SP;Duque de Caxias
18658144;Empresa Comercial 205;2;2010-08-13;5611201;437960.8660022316;RJ;Duque de Caxias
50163712;Empresa Comercial 206;2;2010-08-14;4781400;138558.86994733443;RJ;Duque de Caxias
99386386;Empresa Comercial 207;2;2010-08-15;4711302;68353.97088508388;RJ;Duque de Caxias
95447809;Empresa Comercial 208;2;2010-08-16;5611201;152391.49788901958;RJ;Niterói
98917675;Empresa Comercial 209;2;2010-08-18;5611201;366878.56014109973;SP;Duque de Caxias
54165849;Empresa Comercial 210;2;2010-08-19;4781400;53028.84758505515;RJ;Niterói
82586911;Empresa Comercial 211;2;2010-08-20;5611201;110515.00086615261;RJ;Rio de Janeiro
78227907;Empresa Comercial 212;2;2010-08-21;5611201;482999.9760620578;SP;Duque de Caxias
88826934;Empresa Comercial 213;2;2010-08-22;5611201;33383.100952735906;RJ;Rio de Janeiro
59905866;Empresa Comercial 214;2;2010-08-23;5611201;195764.91947448492;RJ;Duque de Caxias
91121402;Empresa Comercial 215;2;2010-08-24;4781400;147974.72327455063;RJ;Rio de Janeiro
50657662;Empresa Comercial 216;2;2010-08-25;5611201;175762.93744779038;RJ;Rio de Janeiro
16659908;Empresa Comercial 217;2;2010-08-26;5611201;69899.15502868689;SP;Rio de Janeiro
41378291;Empresa Comercial 218;2;2010-08-27;5611201;61505.273946753245;RJ;Rio de Janeiro
73020641;Empresa Comercial 219;2;2010-08-28;4711302;177901.52002078452;RJ;Rio de Janeiro
46634821;Empresa Comercial 220;2;2010-08-30;4781400;41414.58256031078;SP;Niterói
29433354;Empresa Comercial 221;2;2010-08-31;4711302;86619.81275879132;RJ;Niterói
26887294;Empresa Comercial 222;2;2010-09-01;4711302;36270.50649495905;RJ;Duque de Caxias
83422991;Empresa Comercial 223;2;2010-09-02;4781400;6250.927766438379;SP;Niterói
45562619;Empresa Comercial 224;2;2010-09-03;4711302;531270.7593195;RJ;Rio de Janeiro
45213498;Empresa Comercial 225;2;2010-09-04;4711302;89766.66080568424;RJ;Niterói
45703247;Empresa Comercial 226;2;2010-09-05;4711302;527766.5054863198;RJ;Niterói
50910172;Empresa Comercial 227;2;2010-09-06;4781400;27679.871943011785;RJ;Rio de Janeiro
72744322;Empresa Comercial 228;2;2010-09-07;5611201;137779.42496846832;RJ;Niterói
67805563;Empresa Comercial 229;2;2010-09-08;4781400;38654.27511627038;RJ;Rio de Janeiro
16404003;Empresa Comercial 230;2;2010-09-10;4781400;239150.11941771978;SP;Niterói
81244178;Empresa Comercial 231;2;2010-09-11;4781400;234665.4145675631;RJ;Rio de Janeiro
61939266;Empresa Comercial 232;2;2010-09-12;4711302;22920.124434961745;RJ;Duque de Caxias
43267858;Empresa Comercial 233;2;2010-09-13;5611201;369672.67278555164;SP;Niterói
31114003;Empresa Comercial 234;2;2010-09-14;4781400;37467.95626628616;RJ;Duque de Caxias
96641503;Empresa Comercial 235;2;2010-09-15;4781400;147390.8058202357;SP;Rio de Janeiro
20421958;Empresa Comercial 236;2;2010-09-16;5611201;641429.679566108;RJ;Rio de Janeiro
87809459;Empresa Comercial 237;2;2010-09-17;5611201;326065.5166518974;RJ;Duque de Caxias
22984808;Empresa Comercial 238;2;2010-09-18;5611201;475469.75659056235;MG;Rio de Janeiro
24764960;Empresa Comercial 239;2;2010-09-19;4711302;67919.11228995537;RJ;Rio de Janeiro
60402943;Empresa Comercial 240;2;2010-09-20;5611201;21736.241494652815;MG;Rio de Janeiro
86241446;Empresa Comercial 241;2;2010-09-22;4711302;36302.332091521646;RJ;Rio de Janeiro
63777024;Empresa Comercial 242;2;2010-09-23;4781400;109120.61913183713;RJ;Rio de Janeiro
93494666;Empresa Comercial 243;2;2010-09-24;4711302;241421.99879099918;RJ;Rio de Janeiro
80721464;Empresa Comercial 244;2;2010-09-25;5611201;29404.955554974353;RJ;Rio de Janeiro
94711896;Empresa Comercial 245;2;2010-09-26;4711302;166703.0542929371;SP;Rio de Janeiro
89214742;Empresa Comercial 246;2;2010-09-27;5611201;63640.63279682236;RJ;Duque de Caxias
53799966;Empresa Comercial 247;2;2010-09-28;4711302;67600.7639586769;SP;Niterói
20047453;Empresa Comercial 248;2;2010-09-29;4781400;167669.90168253926;RJ;Rio de Janeiro
45581225;Empresa Comercial 249;2;2010-09-30;4711302;99384.91486415203;RJ;Duque de Caxias
44109026;Empresa Comercial 250;2;2010-10-01;4781400;255723.5633597556;RJ;Rio de Janeiro
52090758;Empresa Comercial 251;2;2010-10-03;5611201;30425.935477232033;RJ;Niterói
26037627;Empresa Comercial 252;2;2010-10-04;4781400;239060.2166236012;RJ;Rio de Janeiro
90337039;Empresa Comercial 253;2;2010-10-05;5611201;14958.675123313426;RJ;Duque de Caxias
30281689;Empresa Comercial 254;2;2010-10-06;5611201;37360.758147493296;RJ;Duque de Caxias
67631343;Empresa Comercial 255;2;2010-10-07;4781400;165132.3399382896;SP;Niterói
81450611;Empresa Comercial 256;2;2010-10-08;4781400;294576.3431356371;SP;Rio de Janeiro
56510960;Empresa Comercial 257;2;2010-10-09;4711302;48689.19608946713;RJ;Duque de Caxias
42797855;Empresa Comercial 258;2;2010-10-10;4711302;64444.20408922266;RJ;Niterói
44795514;Empresa Comercial 259;2;2010-10-11;4781400;6027167.907585023;RJ;Niterói
15184502;Empresa Comercial 260;2;2010-10-12;4781400;40657.28184135602;RJ;Rio de Janeiro
33448674;Empresa Comercial 261;2;2010-10-14;4781400;255025.30801708825;RJ;Duque de Caxias
65223954;Empresa Comercial 262;2;2010-10-15;4781400;227842.07079797957;RJ;Rio de Janeiro
40948143;Empresa Comercial 263;2;2010-10-16;5611201;28549.257777117185;SP;Rio de Janeiro
22503247;Empresa Comercial 264;2;2010-10-17;4781400;98495.52557522264;RJ;Rio de Janeiro
64006163;Empresa Comercial 265;2;2010-10-18;4781400;228633.4532111394;RJ;Duque de Caxias
61910807;Empresa Comercial 266;2;2010-10-19;4781400;66721.61640180222;RJ;Niterói
64847136;Empresa Comercial 267;2;2010-10-20;4781400;155402.68150583692;MG;Rio de Janeiro
83150359;Empresa Comercial 268;2;2010-10-21;5611201;12727.648689734084;RJ;Rio de Janeiro
40831219;Empresa Comercial 269;2;2010-10-22;4711302;145737.80401510815;SP;Duque de Caxias
33101383;Empresa Comercial 270;2;2010-10-23;4711302;29846.744509444437;MG;Rio de Janeiro
27569187;Empresa Comercial 271;2;2010-10-24;4711302;271309.10999434424;SP;Niterói
64710375;Empresa Comercial 272;2;2010-10-26;4711302;70880.30717818474;MG;Rio de Janeiro
64456147;Empresa Comercial 273;2;2010-10-27;4711302;54599.681269400244;RJ;Niterói
88110973;Empresa Comercial 274;2;2010-10-28;5611201;280722.9591133362;RJ;Rio de Janeiro
49501026;Empresa Comercial 275;2;2010-10-29;4711302;12716.736367095014;RJ;Rio de Janeiro
43163773;Empresa Comercial 276;2;2010-10-30;5611201;80778.43029262983;RJ;Rio de Janeiro
21310552;Empresa Comercial 277;2;2010-10-31;5611201;74306.1619359077;RJ;Niterói
41146082;Empresa Comercial 278;2;2010-11-01;4711302;55279.03676038144;RJ;Rio de Janeiro
31104792;Empresa Comercial 279;2;2010-11-02;4711302;369144.6008313518;RJ;Rio de Janeiro
31739356;Empresa Comercial 280;2;2010-11-03;4711302;213502.227143223;SP;Rio de Janeiro
21471761;Empresa Comercial 281;2;2010-11-04;4781400;14908.657450276976;RJ;Niterói
29576703;Empresa Comercial 282;2;2010-11-06;5611201;193125.50464489686;RJ;Rio de Janeiro
85092305;Empresa Comercial 283;2;2010-11-07;4711302;117393.87609692222;MG;Duque de Caxias
82429249;Empresa Comercial 284;2;2010-11-08;4781400;351695.28775758925;RJ;Niterói
28877237;Empresa Comercial 285;2;2010-11-09;5611201;61301.27454250519;SP;Duque de Caxias
56918818;Empresa Comercial 286;3;2010-11-10;4781400;133054.4428717258;SP;Rio de Janeiro
33705256;Empresa Comercial 287;2;2010-11-11;4781400;109198.83081079894;RJ;Niterói
94504547;Empresa Comercial 288;2;2010-11-12;4711302;105872.59332546599;RJ;Niterói
87633091;Empresa Comercial 289;2;2010-11-13;5611201;96349.97000157526;RJ;Rio de Janeiro
