cnpj_basico;nome_fantasia;situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;capital_social;uf;municipio;arrecadacao_media_setor;capital_medio_setor;feature_desvio_capital;feature_idade_anos
63933927;Empresa Comercial 116;2;2010-05-08;5611201;111697.3397478757;RJ;Niterói;45000;90000;1.2410815527541743;16.10677618069815
62453338;Empresa Comercial 117;2;2010-05-09;5611201;721888.8185498033;RJ;Rio de Janeiro;45000;90000;8.020986872775593;16.10403832991102
24881728;Empresa Comercial 118;2;2010-05-10;4781400;618099.2648226958;RJ;Duque de Caxias;80000;150000;4.1206617654846385;16.10130047912389
44045666;Empresa Comercial 119;2;2010-05-11;4781400;156188.78482433833;RJ;Rio de Janeiro;80000;150000;1.0412585654955888;16.098562628336754
22722094;Empresa Comercial 120;2;2010-05-12;4711302;92743.63722884448;RJ;Niterói;500000;2000000;0.046371818614422244;16.095824777549623
32178434;Empresa Comercial 121;2;2010-05-13;4711302;106337.63808552432;RJ;Rio de Janeiro;500000;2000000;0.05316881904276216;16.093086926762492
22796932;Empresa Comercial 123;2;2010-05-15;5611201;21066.73121058004;RJ;Duque de Caxias;45000;90000;0.23407479122866712;16.087611225188226
84023414;Empresa Comercial 124;2;2010-05-16;5611201;64703.14926708197;RJ;Niterói;45000;90000;0.7189238807453553;16.084873374401095
36063245;Empresa Comercial 125;2;2010-05-17;5611201;16738.38490808657;RJ;Niterói;45000;90000;0.18598205453429523;16.082135523613964
49443226;Empresa Comercial 126;2;2010-05-19;5611201;16428.643700681656;RJ;Niterói;45000;90000;0.18254048556312952;16.076659822039698
17887739;Empresa Comercial 128;2;2010-05-21;4781400;104612.0383642972;RJ;Duque de Caxias;80000;150000;0.6974135890953147;16.071184120465436
71071026;Empresa Comercial 130;2;2010-05-23;5611201;104682.76065016388;RJ;Rio de Janeiro;45000;90000;1.1631417850018209;16.06570841889117
10769598;Empresa Comercial 131;2;2010-05-24;4781400;66302.78043414436;RJ;Rio de Janeiro;80000;150000;0.44201853622762904;16.06297056810404
59007334;Empresa Comercial 133;2;2010-05-26;4781400;124874.69452045207;RJ;Duque de Caxias;80000;150000;0.8324979634696805;16.057494866529773
38433648;Empresa Comercial 134;2;2010-05-27;5611201;52467.50693762236;RJ;Niterói;45000;90000;0.5829722993069152;16.05475701574264
13331068;Empresa Comercial 136;2;2010-05-30;4711302;572068.5695317003;RJ;Rio de Janeiro;500000;2000000;0.2860342847658502;16.046543463381244
71553124;Empresa Comercial 140;2;2010-06-03;5611201;524208.119308534;RJ;Rio de Janeiro;45000;90000;5.824534658983711;16.035592060232716
55816038;Empresa Comercial 141;2;2010-06-04;5611201;226636.35249040724;RJ;Duque de Caxias;45000;90000;2.518181694337858;16.032854209445585
27750764;Empresa Comercial 142;2;2010-06-05;4781400;347754.797864664;RJ;Rio de Janeiro;80000;150000;2.31836531909776;16.030116358658454
76834972;Empresa Comercial 145;2;2010-06-08;5611201;21276.95796361703;RJ;Rio de Janeiro;45000;90000;0.23641064404018924;16.021902806297057
53156515;Empresa Comercial 146;2;2010-06-09;4711302;13164.136385830654;RJ;Rio de Janeiro;500000;2000000;0.006582068192915327;16.019164955509925
32993420;Empresa Comercial 147;2;2010-06-11;5611201;295277.93683757534;RJ;Rio de Janeiro;45000;90000;3.280865964861948;16.01368925393566
72190751;Empresa Comercial 148;2;2010-06-12;5611201;398139.6192940946;RJ;Duque de Caxias;45000;90000;4.4237735477121625;16.01095140314853
31970758;Empresa Comercial 149;2;2010-06-13;4711302;19243.12047439679;RJ;Duque de Caxias;500000;2000000;0.009621560237198396;16.008213552361397
46513466;Empresa Comercial 150;2;2010-06-14;4711302;23058.843784357363;RJ;Niterói;500000;2000000;0.011529421892178681;16.005475701574266
41288562;Empresa Comercial 151;2;2010-06-15;4781400;10060.535126119285;RJ;Niterói;80000;150000;0.06707023417412857;16.00273785078713
46093880;Empresa Comercial 155;2;2010-06-19;4711302;170329.90719773373;RJ;Duque de Caxias;500000;2000000;0.08516495359886686;15.991786447638603
60441204;Empresa Comercial 156;2;2010-06-20;4781400;231135.816652434;RJ;Duque de Caxias;80000;150000;1.54090544434956;15.989048596851472
91752859;Empresa Comercial 157;2;2010-06-22;4781400;229509.7638152445;RJ;Rio de Janeiro;80000;150000;1.53006509210163;15.983572895277208
54066131;Empresa Comercial 158;2;2010-06-23;4711302;119881.47314736304;RJ;Rio de Janeiro;500000;2000000;0.05994073657368152;15.980835044490075
85415325;Empresa Comercial 159;2;2010-06-24;4711302;244544.14443050456;RJ;Niterói;500000;2000000;0.12227207221525228;15.978097193702943
44755914;Empresa Comercial 161;2;2010-06-26;4781400;61651.10433906205;RJ;Rio de Janeiro;80000;150000;0.4110073622604136;15.97262149212868
80016224;Empresa Comercial 166;2;2010-07-01;4781400;84410.20478151328;RJ;Niterói;80000;150000;0.5627346985434218;15.958932238193018
99583549;Empresa Comercial 168;2;2010-07-04;4711302;20764.583221439498;RJ;Rio de Janeiro;500000;2000000;0.01038229161071975;15.950718685831623
33685747;Empresa Comercial 170;2;2010-07-06;4711302;74643.05888021812;RJ;Rio de Janeiro;500000;2000000;0.03732152944010906;15.945242984257359
47876684;Empresa Comercial 171;2;2010-07-07;4711302;11028.04238214594;RJ;Duque de Caxias;500000;2000000;0.00551402119107297;15.942505133470226
82931048;Empresa Comercial 172;2;2010-07-08;4781400;72705.82455016281;RJ;Duque de Caxias;80000;150000;0.4847054970010854;15.939767282683095
39859174;Empresa Comercial 173;2;2010-07-09;4711302;146488.6968082069;RJ;Rio de Janeiro;500000;2000000;0.07324434840410346;15.937029431895962
46102853;Empresa Comercial 174;2;2010-07-10;5611201;24047.24782185041;RJ;Niterói;45000;90000;0.26719164246500454;15.93429158110883
56159303;Empresa Comercial 175;2;2010-07-11;4711302;391621.38342235744;RJ;Niterói;500000;2000000;0.1958106917111787;15.931553730321697
57936136;Empresa Comercial 177;2;2010-07-13;4781400;403903.4058736256;RJ;Rio de Janeiro;80000;150000;2.6926893724908374;15.926078028747433
79062973;Empresa Comercial 178;2;2010-07-15;4781400;189207.8186948101;RJ;Rio de Janeiro;80000;150000;1.2613854579654007;15.92060232717317
24421668;Empresa Comercial 179;2;2010-07-16;5611201;65007.21048650136;RJ;Rio de Janeiro;45000;90000;0.722302338738904;15.917864476386036
31200096;Empresa Comercial 180;2;2010-07-17;4711302;79329.0735790388;RJ;Duque de Caxias;500000;2000000;0.0396645367895194;15.915126625598905
93375337;Empresa Comercial 181;2;2010-07-18;5611201;207528.7166790281;RJ;Duque de Caxias;45000;90000;2.3058746297669788;15.912388774811772
61715898;Empresa Comercial 183;2;2010-07-20;4781400;172048.04129770456;RJ;Rio de Janeiro;80000;150000;1.1469869419846972;15.906913073237508
55968757;Empresa Comercial 184;2;2010-07-21;4711302;78939.16663600224;RJ;Rio de Janeiro;500000;2000000;0.03946958331800112;15.904175222450377
10061087;Empresa Comercial 185;2;2010-07-22;4781400;105359.96404052086;RJ;Rio de Janeiro;80000;150000;0.7023997602701391;15.901437371663244
90705119;Empresa Comercial 186;2;2010-07-23;5611201;693800.8436188415;RJ;Rio de Janeiro;45000;90000;7.708898262431572;15.898699520876113
76653416;Empresa Comercial 187;2;2010-07-24;5611201;41105.05433480899;RJ;Duque de Caxias;45000;90000;0.45672282594232216;15.89596167008898
20274621;Empresa Comercial 189;2;2010-07-27;4781400;56759.22221030148;RJ;Duque de Caxias;80000;150000;0.3783948147353432;15.887748117727584
23022704;Empresa Comercial 190;2;2010-07-28;4781400;222296.6584946997;RJ;Niterói;80000;150000;1.4819777232979978;15.885010266940451
26816569;Empresa Comercial 191;2;2010-07-29;4781400;11079827.304783922;RJ;Rio de Janeiro;80000;150000;73.86551536522614;15.88227241615332
17654909;Empresa Comercial 192;2;2010-07-30;4781400;56891.084825946986;RJ;Rio de Janeiro;80000;150000;0.3792738988396466;15.879534565366187
94302960;Empresa Comercial 194;2;2010-08-01;4781400;6724.779820618127;RJ;Rio de Janeiro;80000;150000;0.04483186547078751;15.874058863791923
25421040;Empresa Comercial 195;2;2010-08-02;4711302;88648.42137047065;RJ;Rio de Janeiro;500000;2000000;0.04432421068523532;15.871321013004792
43779713;Empresa Comercial 199;2;2010-08-07;4711302;49441.509051653;RJ;Rio de Janeiro;500000;2000000;0.0247207545258265;15.85763175906913
21506305;Empresa Comercial 200;2;2010-08-08;5611201;337777.18683412333;RJ;Niterói;45000;90000;3.7530798537124817;15.854893908282
17734102;Empresa Comercial 203;2;2010-08-11;5611201;20083.927243807808;RJ;Niterói;45000;90000;0.2231547471534201;15.846680355920602
18658144;Empresa Comercial 205;2;2010-08-13;5611201;437960.8660022316;RJ;Duque de Caxias;45000;90000;4.86623184446924;15.841204654346338
50163712;Empresa Comercial 206;2;2010-08-14;4781400;138558.86994733443;RJ;Duque de Caxias;80000;150000;0.9237257996488962;15.838466803559205
99386386;Empresa Comercial 207;2;2010-08-15;4711302;68353.97088508388;RJ;Duque de Caxias;500000;2000000;0.03417698544254194;15.835728952772074
95447809;Empresa Comercial 208;2;2010-08-16;5611201;152391.49788901958;RJ;Niterói;45000;90000;1.6932388654335508;15.832991101984941
54165849;Empresa Comercial 210;2;2010-08-19;4781400;53028.84758505515;RJ;Niterói;80000;150000;0.35352565056703433;15.824777549623546
82586911;Empresa Comercial 211;2;2010-08-20;5611201;110515.0008661526;RJ;Rio de Janeiro;45000;90000;1.2279444540683622;15.822039698836413
88826934;Empresa Comercial 213;2;2010-08-22;5611201;33383.100952735906;RJ;Rio de Janeiro;45000;90000;0.37092334391928783;15.816563997262149
59905866;Empresa Comercial 214;2;2010-08-23;5611201;195764.9194744849;RJ;Duque de Caxias;45000;90000;2.175165771938721;15.813826146475018
91121402;Empresa Comercial 215;2;2010-08-24;4781400;147974.72327455063;RJ;Rio de Janeiro;80000;150000;0.9864981551636709;15.811088295687885
50657662;Empresa Comercial 216;2;2010-08-25;5611201;175762.93744779038;RJ;Rio de Janeiro;45000;90000;1.9529215271976708;15.808350444900753
41378291;Empresa Comercial 218;2;2010-08-27;5611201;61505.273946753245;RJ;Rio de Janeiro;45000;90000;0.6833919327417027;15.80287474332649
73020641;Empresa Comercial 219;2;2010-08-28;4711302;177901.52002078452;RJ;Rio de Janeiro;500000;2000000;0.08895076001039226;15.800136892539356
29433354;Empresa Comercial 221;2;2010-08-31;4711302;86619.81275879132;RJ;Niterói;500000;2000000;0.043309906379395656;15.791923340177961
26887294;Empresa Comercial 222;2;2010-09-01;4711302;36270.50649495905;RJ;Duque de Caxias;500000;2000000;0.018135253247479527;15.789185489390828
45562619;Empresa Comercial 224;2;2010-09-03;4711302;531270.7593195;RJ;Rio de Janeiro;500000;2000000;0.26563537965975;15.783709787816564
45213498;Empresa Comercial 225;2;2010-09-04;4711302;89766.66080568424;RJ;Niterói;500000;2000000;0.04488333040284212;15.780971937029431
45703247;Empresa Comercial 226;2;2010-09-05;4711302;527766.5054863198;RJ;Niterói;500000;2000000;0.2638832527431599;15.7782340862423
50910172;Empresa Comercial 227;2;2010-09-06;4781400;27679.871943011785;RJ;Rio de Janeiro;80000;150000;0.18453247962007857;15.775496235455167
72744322;Empresa Comercial 228;2;2010-09-07;5611201;137779.42496846832;RJ;Niterói;45000;90000;1.530882499649648;15.772758384668036
67805563;Empresa Comercial 229;2;2010-09-08;4781400;38654.27511627038;RJ;Rio de Janeiro;80000;150000;0.25769516744180254;15.770020533880903
81244178;Empresa Comercial 231;2;2010-09-11;4781400;234665.4145675631;RJ;Rio de Janeiro;80000;150000;1.5644360971170874;15.761806981519507
61939266;Empresa Comercial 232;2;2010-09-12;4711302;22920.124434961745;RJ;Duque de Caxias;500000;2000000;0.011460062217480872;15.759069130732374
31114003;Empresa Comercial 234;2;2010-09-14;4781400;37467.95626628616;RJ;Duque de Caxias;80000;150000;0.24978637510857438;15.75359342915811
20421958;Empresa Comercial 236;2;2010-09-16;5611201;641429.679566108;RJ;Rio de Janeiro;45000;90000;7.126996439623422;15.748117727583846
87809459;Empresa Comercial 237;2;2010-09-17;5611201;326065.5166518974;RJ;Duque de Caxias;45000;90000;3.6229501850210823;15.745379876796715
24764960;Empresa Comercial 239;2;2010-09-19;4711302;67919.11228995537;RJ;Rio de Janeiro;500000;2000000;0.033959556144977684;15.739904175222451
86241446;Empresa Comercial 241;2;2010-09-22;4711302;36302.332091521646;RJ;Rio de Janeiro;500000;2000000;0.018151166045760822;15.731690622861054
63777024;Empresa Comercial 242;2;2010-09-23;4781400;109120.61913183711;RJ;Rio de Janeiro;80000;150000;0.7274707942122475;15.728952772073923
93494666;Empresa Comercial 243;2;2010-09-24;4711302;241421.9987909992;RJ;Rio de Janeiro;500000;2000000;0.1207109993954996;15.72621492128679
80721464;Empresa Comercial 244;2;2010-09-25;5611201;29404.95555497436;RJ;Rio de Janeiro;45000;90000;0.326721728388604;15.723477070499658
89214742;Empresa Comercial 246;2;2010-09-27;5611201;63640.63279682236;RJ;Duque de Caxias;45000;90000;0.7071181421869152;15.718001368925394
20047453;Empresa Comercial 248;2;2010-09-29;4781400;167669.90168253926;RJ;Rio de Janeiro;80000;150000;1.1177993445502616;15.71252566735113
45581225;Empresa Comercial 249;2;2010-09-30;4711302;99384.91486415204;RJ;Duque de Caxias;500000;2000000;0.04969245743207602;15.709787816563997
44109026;Empresa Comercial 250;2;2010-10-01;4781400;255723.5633597556;RJ;Rio de Janeiro;80000;150000;1.7048237557317039;15.707049965776864
52090758;Empresa Comercial 251;2;2010-10-03;5611201;30425.93547723204;RJ;Niterói;45000;90000;0.33806594974702264;15.7015742642026
26037627;Empresa Comercial 252;2;2010-10-04;4781400;239060.2166236012;RJ;Rio de Janeiro;80000;150000;1.5937347774906747;15.698836413415469
90337039;Empresa Comercial 253;2;2010-10-05;5611201;14958.675123313426;RJ;Duque de Caxias;45000;90000;0.16620750137014917;15.696098562628336
30281689;Empresa Comercial 254;2;2010-10-06;5611201;37360.758147493296;RJ;Duque de Caxias;45000;90000;0.4151195349721477;15.693360711841205
56510960;Empresa Comercial 257;2;2010-10-09;4711302;48689.19608946713;RJ;Duque de Caxias;500000;2000000;0.024344598044733563;15.685147159479808
42797855;Empresa Comercial 258;2;2010-10-10;4711302;64444.20408922266;RJ;Niterói;500000;2000000;0.03222210204461133;15.682409308692677
44795514;Empresa Comercial 259;2;2010-10-11;4781400;6027167.907585023;RJ;Niterói;80000;150000;40.18111938390015;15.679671457905544
15184502;Empresa Comercial 260;2;2010-10-12;4781400;40657.28184135602;RJ;Rio de Janeiro;80000;150000;0.2710485456090402;15.676933607118412
33448674;Empresa Comercial 261;2;2010-10-14;4781400;255025.30801708825;RJ;Duque de Caxias;80000;150000;1.7001687201139217;15.671457905544148
65223954;Empresa Comercial 262;2;2010-10-15;4781400;227842.0707979796;RJ;Rio de Janeiro;80000;150000;1.5189471386531974;15.668720054757015
22503247;Empresa Comercial 264;2;2010-10-17;4781400;98495.52557522264;RJ;Rio de Janeiro;80000;150000;0.6566368371681509;15.663244353182751
64006163;Empresa Comercial 265;2;2010-10-18;4781400;228633.4532111394;RJ;Duque de Caxias;80000;150000;1.524223021407596;15.66050650239562
61910807;Empresa Comercial 266;2;2010-10-19;4781400;66721.61640180222;RJ;Niterói;80000;150000;0.44481077601201485;15.657768651608487
83150359;Empresa Comercial 268;2;2010-10-21;5611201;12727.648689734084;RJ;Rio de Janeiro;45000;90000;0.14141831877482317;15.652292950034223
64456147;Empresa Comercial 273;2;2010-10-27;4711302;54599.68126940024;RJ;Niterói;500000;2000000;0.027299840634700118;15.63586584531143
88110973;Empresa Comercial 274;2;2010-10-28;5611201;280722.9591133362;RJ;Rio de Janeiro;45000;90000;3.11914399014818;15.633127994524298
49501026;Empresa Comercial 275;2;2010-10-29;4711302;12716.736367095014;RJ;Rio de Janeiro;500000;2000000;0.006358368183547508;15.630390143737166
43163773;Empresa Comercial 276;2;2010-10-30;5611201;80778.43029262983;RJ;Rio de Janeiro;45000;90000;0.8975381143625536;15.627652292950033
21310552;Empresa Comercial 277;2;2010-10-31;5611201;74306.1619359077;RJ;Niterói;45000;90000;0.8256240215100855;15.624914442162902
41146082;Empresa Comercial 278;2;2010-11-01;4711302;55279.03676038144;RJ;Rio de Janeiro;500000;2000000;0.027639518380190718;15.62217659137577
31104792;Empresa Comercial 279;2;2010-11-02;4711302;369144.6008313518;RJ;Rio de Janeiro;500000;2000000;0.1845723004156759;15.619438740588638
21471761;Empresa Comercial 281;2;2010-11-04;4781400;14908.657450276976;RJ;Niterói;80000;150000;0.09939104966851317;15.613963039014374
29576703;Empresa Comercial 282;2;2010-11-06;5611201;193125.5046448969;RJ;Rio de Janeiro;45000;90000;2.1458389404988543;15.60848733744011
82429249;Empresa Comercial 284;2;2010-11-08;4781400;351695.28775758925;RJ;Niterói;80000;150000;2.3446352517172615;15.603011635865846
